Question,Answer,Category
What documents are needed for reimbursement?,You need to upload a valid receipt or invoice along with the reimbursement request.,General HR
Is customer support available on weekends?,"Yes, our customer support is available 24/7, including weekends.",General HR
What if i forget to mark attendance?,You can raise an attendance regularization request through the app.,General HR
What benefits do employees receive?,"Employees receive health insurance, PF, and annual performance bonuses.",General HR
Who do i contact for technical issues?,"For technical support, email support@company.com.",General HR
Can i cancel a leave request?,"Yes, you can cancel a pending leave request from the 'Leave' dashboard.",Leave Policy
What if i forget to mark attendance?,You can raise an attendance regularization request through the app.,General HR
What is the notice period for resignation?,The standard notice period is 30 days.,Resignation
Is customer support available on weekends?,"Yes, our customer support is available 24/7, including weekends.",General HR
Is customer support available on weekends?,"Yes, our customer support is available 24/7, including weekends.",General HR
Can i cancel a leave request?,"Yes, you can cancel a pending leave request from the 'Leave' dashboard.",Leave Policy
Where can i find the company policies?,All policies are available under the 'HR Documents' section.,General HR
How do i update my bank account details?,Go to 'Payroll Settings' and update your bank information.,General HR
What documents are needed for reimbursement?,You need to upload a valid receipt or invoice along with the reimbursement request.,General HR
Can i update my personal information?,"Yes, you can update your personal information from your profile settings.",General HR
How is performance evaluated?,Performance is reviewed bi-annually through self and manager assessments.,Performance
Can i update my personal information?,"Yes, you can update your personal information from your profile settings.",General HR
How can i refer someone for a job?,Use the 'Employee Referral' portal in the app to refer candidates.,General HR
What if i forget to mark attendance?,You can raise an attendance regularization request through the app.,General HR
How can i reset my password?,You can reset your password using the 'Forgot Password' link on the login page.,General HR
What are your working hours?,"Our working hours are 9 AM to 6 PM, Monday to Friday.",General HR
How can i reset my password?,You can reset your password using the 'Forgot Password' link on the login page.,General HR
How do i update my bank account details?,Go to 'Payroll Settings' and update your bank information.,General HR
What are your working hours?,"Our working hours are 9 AM to 6 PM, Monday to Friday.",General HR
What are your working hours?,"Our working hours are 9 AM to 6 PM, Monday to Friday.",General HR
What are your working hours?,"Our working hours are 9 AM to 6 PM, Monday to Friday.",General HR
What benefits do employees receive?,"Employees receive health insurance, PF, and annual performance bonuses.",General HR
Who do i contact for technical issues?,"For technical support, email support@company.com.",General HR
What benefits do employees receive?,"Employees receive health insurance, PF, and annual performance bonuses.",General HR
How do i contact hr?,You can contact HR via email at hr@company.com or call extension 123.,General HR
Is customer support available on weekends?,"Yes, our customer support is available 24/7, including weekends.",General HR
What benefits do employees receive?,"Employees receive health insurance, PF, and annual performance bonuses.",General HR
How do i check my payslip?,Go to the 'Payroll' section in the app to view and download your payslip.,Payroll
Where can i find the company policies?,All policies are available under the 'HR Documents' section.,General HR
How do i update my bank account details?,Go to 'Payroll Settings' and update your bank information.,General HR
Who do i contact for technical issues?,"For technical support, email support@company.com.",General HR
How do i contact hr?,You can contact HR via email at hr@company.com or call extension 123.,General HR
What if i forget to mark attendance?,You can raise an attendance regularization request through the app.,General HR
Can i cancel a leave request?,"Yes, you can cancel a pending leave request from the 'Leave' dashboard.",Leave Policy
How do i check my payslip?,Go to the 'Payroll' section in the app to view and download your payslip.,Payroll
How do i log attendance?,Use the 'Attendance' tab to check in and out each day.,General HR
Where can i find the company policies?,All policies are available under the 'HR Documents' section.,General HR
How do i contact hr?,You can contact HR via email at hr@company.com or call extension 123.,General HR
What documents are needed for reimbursement?,You need to upload a valid receipt or invoice along with the reimbursement request.,General HR
What if i forget to mark attendance?,You can raise an attendance regularization request through the app.,General HR
How do i apply for leave?,Navigate to the 'Leave' section in the app and fill out the leave request form.,Leave Policy
How is performance evaluated?,Performance is reviewed bi-annually through self and manager assessments.,Performance
How can i refer someone for a job?,Use the 'Employee Referral' portal in the app to refer candidates.,General HR
